Place,Pinyin,Type,Source,Notes
宛平,Wanping,District,WP,District in Beijing
大興,Daxing,District,WP,District in Beijing
順天,Shuntian,Province,WP,Historical province surrounding Beijing
閩縣,Minxian,County,WT,Historical county in Fujian province
安徽,Anhui,Province,WP,
福建,Fujian,Province,WP,
甘肅,Gansu,Province,WP,
廣東,Guangdong,Province,WP,
廣西,Guangxi,Province,WP,
貴州,Guizhou,Province,WP,
河南,Henan,Province,WP,
湖北,Hubei,Province,WP,
湖南,Hunan,Province,WP,
江蘇,Jiangsu,Province,WP,
江西,Jiangxi,Province,WP,
陝西,Shaanxi,Province,WP,
山東,Shandong,Province,WP,
山西,Shanxi,Province,WP,
四川,Sichuan,Province,WP,
雲南,Yunan,Province,WP,
浙江,Zhejiang,Province,WP,
直隸,Zhili,Province,WP,Historical province in northern China
新疆,Xinjiang,Province,WP,
奉天,Fengtian,Province,WP,Historical province near Liaoning
吉林,Jilin,Province,WP,
黑龍江,Helongjiang,Province,WP,
臺灣,Taiwan,Province,WP,
湖廣,Huguang,Region,WP,
京畿,Jingji,Region,WP,Capital and surrounds
江南,Jiangnan,Region,WP,
陝甘,Shaan'gan,Region,WP,